timestamp,volume,high,close,low,open
216.2400,2019-05-08,222.1100,1642792,215.5000,225.7800
222.3700,2019-05-07,217.6500,1690068,214.2400,225.6700
225.0000,2019-05-06,225.5900,1746455,220.6103,229.6300
227.0100,2019-05-03,231.9600,1316982,222.6435,232.6959
220.0000,2019-05-02,225.1600,1100647,220.0000,227.3300
222.8900,2019-05-01,221.2200,1033194,219.0000,225.6400
219.5900,2019-04-30,221.4800,1720577,216.6700,224.7800
217.3000,2019-04-29,225.8900,1562633,216.5000,226.3800
214.2400,2019-04-26,215.2400,849119,211.6000,217.3000
210.0300,2019-04-25,214.7500,1026549,208.1800,216.8800
212.2400,2019-04-24,207.7900,725314,206.7000,213.8200
212.4000,2019-04-23,210.7300,994052,205.6261,215.0000
198.2500,2019-04-22,211.0300,1506536,197.0000,211.9997
198.1800,2019-04-18,198.7400,725435,194.3300,199.9100
204.7000,2019-04-17,198.7900,780825,197.0000,205.5688
203.7400,2019-04-16,203.2600,1016085,201.2400,208.1400
199.2800,2019-04-15,202.1600,715830,195.8800,202.6900
202.6000,2019-04-12,200.5000,890444,199.9500,205.8400
201.2100,2019-04-11,200.3600,695935,199.6600,203.5400
194.9700,2019-04-10,199.8800,1654693,194.8200,204.4200
196.4700,2019-04-09,194.8200,757945,194.5200,199.6300
195.5300,2019-04-08,197.5000,1003549,191.2100,197.6300
199.9800,2019-04-05,196.5200,1007050,193.4000,199.9998
207.0000,2019-04-04,198.0000,1704288,192.8500,208.0925
208.5000,2019-04-03,207.2100,1363888,203.2300,209.6900
206.0000,2019-04-02,206.8400,1141808,202.6813,207.4800
201.5600,2019-04-01,206.1300,2139692,197.0400,206.2389
189.1100,2019-03-29,197.9500,2297992,188.4000,199.3700
180.6000,2019-03-28,186.5100,2078450,180.1000,189.9000
187.7100,2019-03-27,180.3800,2328197,178.2995,189.6399
201.5300,2019-03-26,186.9400,3159042,184.2800,202.5000
201.5000,2019-03-25,197.0400,1680228,196.2700,204.4500
212.6500,2019-03-22,202.9100,1497816,201.2273,214.6985
204.4700,2019-03-21,213.5700,1125794,204.3966,214.4800
205.4500,2019-03-20,205.9600,840656,201.2112,208.1900
204.3900,2019-03-19,205.6700,748002,201.7501,207.3500
208.0000,2019-03-18,203.7500,1652767,200.8600,209.7400
208.5700,2019-03-15,207.0000,1166781,206.4600,211.8707
205.2000,2019-03-14,208.2300,977815,202.7300,209.8600
208.5000,2019-03-13,205.1900,1216565,202.9500,209.2300
205.3800,2019-03-12,207.8000,1266472,201.5900,208.5815
194.8700,2019-03-11,204.3800,2327306,194.3500,206.3600
185.1300,2019-03-08,194.3500,1682239,180.5009,194.7600
185.8700,2019-03-07,188.8000,1388657,184.7368,191.8900
190.4000,2019-03-06,186.3500,1311632,184.2050,190.5000
187.9500,2019-03-05,191.2300,993073,186.2410,192.1100
196.8700,2019-03-04,189.3800,2164673,182.6712,197.7100
199.1600,2019-03-01,195.1200,1574381,193.5100,201.4700
194.0000,2019-02-28,197.5400,1504149,192.5340,198.9500
194.6700,2019-02-27,195.0000,1236547,194.6700,199.6000
195.0000,2019-02-26,195.5000,1842605,191.6400,197.8200
193.5800,2019-02-25,197.6200,3195443,192.4700,202.3000
175.0000,2019-02-22,197.7300,7971429,173.5000,200.1500
150.0900,2019-02-21,150.4900,2295954,148.3600,153.2000
156.7500,2019-02-20,150.0900,4177774,145.5100,156.7900
159.0000,2019-02-19,161.7000,2153659,156.5200,165.7000
155.0000,2019-02-15,158.1200,1281602,153.1100,158.2700
149.9900,2019-02-14,153.4300,966942,149.9900,154.9350
154.9000,2019-02-13,151.3400,1062640,147.5700,156.5800
151.0000,2019-02-12,152.9800,844691,150.1600,153.5100
148.0100,2019-02-11,148.9000,830500,145.1600,150.0000
139.5000,2019-02-08,146.1800,859060,138.7800,146.9100
145.4000,2019-02-07,142.0400,1347403,138.5820,145.4000
155.0000,2019-02-06,147.5000,1740173,146.1800,155.9699
153.1400,2019-02-05,155.1600,1220584,152.9900,157.5000
146.0000,2019-02-04,151.6700,1593878,145.6700,155.1500
142.4700,2019-02-01,145.2600,756423,142.1593,146.0000
140.0500,2019-01-31,142.6800,1021867,140.0500,145.7800
137.0000,2019-01-30,140.0500,817417,135.3953,141.7900
135.7100,2019-01-29,134.5600,547935,132.9651,136.9800
low,close,timestamp,open,high,volume
252.6600,252.8900,2019-06-20,255.0000,257.9950,333822
243.9000,251.3000,2019-06-19,247.5400,251.7100,813384
244.5000,245.1800,2019-06-18,252.5700,255.5000,1062164
246.1700,248.1100,2019-06-17,246.5300,253.9300,985321
240.7600,244.9400,2019-06-14,243.6400,246.8800,1123210
242.2100,246.8800,2019-06-13,242.8500,248.9900,1080879
231.6500,242.2000,2019-06-12,237.4000,245.7900,2527072
245.8700,249.3600,2019-06-11,253.6200,255.4900,1523495
247.4804,249.8800,2019-06-10,249.3600,257.1299,1822411
238.0100,245.0400,2019-06-07,239.0000,250.0000,1943741
224.3600,237.2600,2019-06-06,233.0000,238.0275,1979161
224.5800,232.3000,2019-06-05,224.5800,234.0000,2709933
200.5000,222.9100,2019-06-04,200.8400,223.3700,3084173
196.0000,197.4200,2019-06-03,199.8700,202.7000,1704634
196.0100,198.8100,2019-05-31,198.0000,201.6100,988370
200.1800,201.8900,2019-05-30,203.0200,204.4400,1155421
199.0000,201.4500,2019-05-29,202.0000,204.7200,1519227
196.2300,202.0900,2019-05-28,196.9500,203.6200,1689867
193.7800,195.9000,2019-05-24,197.5000,199.7399,1220201
192.2500,195.2900,2019-05-23,196.0000,198.0000,1484660
197.0004,198.9000,2019-05-22,197.1300,205.9900,1266955
198.1000,199.0300,2019-05-21,200.0500,207.7600,1782182
190.5500,198.1700,2019-05-20,193.1700,201.5200,1389981
196.0449,198.0200,2019-05-17,198.6200,202.6100,1497381
197.4443,202.0400,2019-05-16,200.6400,209.3900,3275164
184.7600,199.8800,2019-05-15,185.3900,201.3900,3502851
177.8500,185.2600,2019-05-14,179.5200,187.1700,2228148
173.6000,176.7600,2019-05-13,175.7700,181.5200,2094526
181.8150,183.5100,2019-05-10,191.0100,192.6700,3720332
180.5000,189.9200,2019-05-09,218.0000,218.0000,8963552
215.5000,222.1100,2019-05-08,216.2400,225.7800,1642792
214.2400,217.6500,2019-05-07,222.3700,225.6700,1690068
220.6103,225.5900,2019-05-06,225.0000,229.6300,1746455
222.6435,231.9600,2019-05-03,227.0100,232.6959,1316982
220.0000,225.1600,2019-05-02,220.0000,227.3300,1100647
219.0000,221.2200,2019-05-01,222.8900,225.6400,1033194
216.6700,221.4800,2019-04-30,219.5900,224.7800,1720577
216.5000,225.8900,2019-04-29,217.3000,226.3800,1562633
211.6000,215.2400,2019-04-26,214.2400,217.3000,849119
208.1800,214.7500,2019-04-25,210.0300,216.8800,1026549
206.7000,207.7900,2019-04-24,212.2400,213.8200,725314
205.6261,210.7300,2019-04-23,212.4000,215.0000,994052
197.0000,211.0300,2019-04-22,198.2500,211.9997,1506536
194.3300,198.7400,2019-04-18,198.1800,199.9100,725435
197.0000,198.7900,2019-04-17,204.7000,205.5688,780825
201.2400,203.2600,2019-04-16,203.7400,208.1400,1016085
